TrainingDataset,HumanGeneID,Symbol,Synonyms,Description,EnsemblGeneID
Tpossible_mito,55856,ACOT13,PNAS-27|THEM2|Q9NPJ3,acyl-CoA thioesterase 13,ENSG00000112304
Tmito,1374,CPT1A,CPT1|CPT1-L|L-CPT1|P50416,carnitine palmitoyltransferase 1A (liver),ENSG00000110090
Tmito,2710,GK,GK1|GKD|P32189,glycerol kinase,ENSG00000198814
Tpossible_mito,10901,DHRS4,CR|NRDR|PHCR|PSCD|SCAD-SRL|SDR-SRL|SDR25C1|SDR25C2|Q9BTZ2,dehydrogenase/reductase (SDR family) member 4,ENSG00000157326
Tpossible_mito,153768,PRELID2,Q8N945,PRELI domain containing 2,ENSG00000186314
Tmito,79587,CARS2,Q9HA77,"cysteinyl-tRNA synthetase 2, mitochondrial (putative)",ENSG00000134905
Tmito,2631,GBAS,NIPSNAP2|O75323,glioblastoma amplified sequence,ENSG00000146729
Tmito,4713,NDUFB7,B18|CI-B18|P17568,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7, 18kDa",ENSG00000099795
Tpossible_mito,125988,C19orf70,P117|QIL1|Q5XKP0,chromosome 19 open reading frame 70,ENSG00000174917
Tmito,51022,GLRX2,CGI-133|GRX2|Q9NS18,glutaredoxin 2,ENSG00000023572
Tmito,10884,MRPS30,MRP-S30|PAP|PDCD9|S30mt|Q9NP92,mitochondrial ribosomal protein S30,ENSG00000112996
Tmito,9997,SCO2,CEMCOX1|MYP6|SCO1L|O43819,SCO2 cytochrome c oxidase assembly protein,ENSG00000130489
Tmito,3028,HSD17B10,17b-HSD10|ABAD|CAMR|DUPXp11.22|ERAB|HADH2|HCD2|MHBD|MRPP2|MRX17|MRX31|MRXS10|SCHAD|SDR5C1|Q99714,hydroxysteroid (17-beta) dehydrogenase 10,ENSG00000072506
Tmito,79731,NARS2,SLM5|asnRS|Q96I59,"asparaginyl-tRNA synthetase 2, mitochondrial (putative)",ENSG00000137513
Tmito,285367,RPUSD3,Q6P087,RNA pseudouridylate synthase domain containing 3,ENSG00000156990
Tmito,6821,SUOX,P51687,sulfite oxidase,ENSG00000139531
Tmito,1757,SARDH,BPR-2|DMGDHL1|SAR|SARD|SDH|Q9UL12,sarcosine dehydrogenase,ENSG00000123453
Tmito,10247,HRSP12,P14.5|PSP|UK114|P52758,heat-responsive protein 12,ENSG00000132541
Tmito,1351,COX8A,COX|COX8|COX8-2|COX8L|VIII|VIII-L|P10176,cytochrome c oxidase subunit VIIIA (ubiquitous),ENSG00000176340
Tpossible_mito,6697,SPR,SDR38C1|P35270,"sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)",ENSG00000116096
Tmito,4358,MPV17,MTDPS6|SYM1|P39210,MpV17 mitochondrial inner membrane protein,ENSG00000115204
Tpossible_mito,284273,ZADH2,Q8N4Q0,zinc binding alcohol dehydrogenase domain containing 2,ENSG00000180011
Tmito,29074,MRPL18,L18mt|MRP-L18|Q9H0U6,mitochondrial ribosomal protein L18,ENSG00000112110
Tmito,219,ALDH1B1,ALDH5|ALDHX|P30837,"aldehyde dehydrogenase 1 family, member B1",ENSG00000137124
Tmito,118487,CHCHD1,C10orf34|C2360|MRP-S37|Q96BP2,coiled-coil-helix-coiled-coil-helix domain containing 1,ENSG00000172586
Tmito,1678,TIMM8A,DDP|DDP1|DFN1|MTS|TIM8|O60220,translocase of inner mitochondrial membrane 8 homolog A (yeast),ENSG00000126953
Tmito,7419,VDAC3,HD-VDAC3|VDAC-3|Q9Y277,voltage-dependent anion channel 3,ENSG00000078668
Tmito,29957,SLC25A24,APC1|SCAMC-1|Q6NUK1,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24",ENSG00000085491
Tmito,51660,MPC1,BRP44L|MPYCD|dJ68L15.3|Q9Y5U8,mitochondrial pyruvate carrier 1,ENSG00000060762
Tmito,79751,SLC25A22,EIEE3|GC1|NET44|Q9H936,"solute carrier family 25 (mitochondrial carrier: glutamate), member 22",ENSG00000177542
Tmito,83447,SLC25A31,AAC4|ANT4|SFEC35kDa|Q9H0C2,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31",ENSG00000151475
Tmito,83733,SLC25A18,GC2|Q9H1K4,"solute carrier family 25 (glutamate carrier), member 18",ENSG00000182902
Tmito,51095,TRNT1,CCA1|MtCCA|Q96Q11,"tRNA nucleotidyl transferase, CCA-adding, 1",ENSG00000072756
Tmito,3416,IDE,INSULYSIN|P14735,insulin-degrading enzyme,ENSG00000119912
Tmito,373156,GSTK1,GST|GST 13-13|GST13|GST13-13|GSTK1-1|hGSTK1|Q9Y2Q3,glutathione S-transferase kappa 1,ENSG00000197448
Tmito,57176,VARS2,G7a|VARS2L|VARSL|Q5ST30,"valyl-tRNA synthetase 2, mitochondrial",ENSG00000137411
Tmito,3336,HSPE1,CPN10|EPF|GROES|HSP10|P61604,heat shock 10kDa protein 1,ENSG00000115541
Tmito,116541,MRPL54,L54mt|MRP-L54|Q6P161,mitochondrial ribosomal protein L54,ENSG00000183617
Tmito,64978,MRPL38,L38MT|MRP-L3|MRP-L38|RPML3|Q96DV4,mitochondrial ribosomal protein L38,ENSG00000204316
Tmito,3396,ICT1,DS-1|DS1|MRP-L58|Q14197,immature colon carcinoma transcript 1,ENSG00000167862
Tmito,23787,MTCH1,CGI-64|PIG60|PSAP|SLC25A49|Q9NZJ7,mitochondrial carrier 1,ENSG00000137409
Tmito,51499,TRIAP1,MDM35|P53CSV|WF-1|O43715,TP53 regulated inhibitor of apoptosis 1,ENSG00000170855
Tmito,55037,PTCD3,MRP-S39|Q96EY7,pentatricopeptide repeat domain 3,ENSG00000132300
Tmito,1352,COX10,Q12887,cytochrome c oxidase assembly homolog 10 (yeast),ENSG00000006695
Tmito,8165,AKAP1,AKAP|AKAP121|AKAP149|AKAP84|D-AKAP1|PPP1R43|PRKA1|SAKAP84|TDRD17|Q92667,A kinase (PRKA) anchor protein 1,ENSG00000121057
Tmito,55178,RNMTL1,Q9HC36,RNA methyltransferase like 1,ENSG00000171861
Tmito,204,AK2,ADK2|AK 2|P54819,adenylate kinase 2,ENSG00000004455
Tmito,54968,TMEM70,MC5DN2|Q9BUB7,transmembrane protein 70,ENSG00000175606
Tmito,84273,NOA1,C4orf14|MTG3|hAtNOS1|hNOA1|mAtNOS1|Q8NC60,nitric oxide associated 1,ENSG00000084092
Tmito,63933,MCUR1,C6orf79|CCDC90A|Q96AQ8,mitochondrial calcium uniporter regulator 1,ENSG00000050393
Tmito,51522,TMEM14C,C6orf53|MSTP073|NET26|bA421M1.6|Q9P0S9,transmembrane protein 14C,ENSG00000111843
Tmito,4717,NDUFC1,KFYI|O43677,"NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa",ENSG00000109390
Tmito,51318,MRPL35,L35mt|MRP-L35|Q9NZE8,mitochondrial ribosomal protein L35,ENSG00000132313
Tmito,4696,NDUFA3,B9|CI-B9|O95167,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa",ENSG00000170906
Tmito,23590,PDSS1,COQ1|COQ10D2|DPS|RP13-16H11.3|SPS|TPRT|TPT|TPT 1|hDPS1|Q5T2R2,"prenyl (decaprenyl) diphosphate synthase, subunit 1",ENSG00000148459
Tmito,8034,SLC25A16,D10S105E|GDA|GDC|HGT.1|ML7|hML7|P16260,"solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16",ENSG00000122912
Tmito,154791,C7orf55,FMC1,chromosome 7 open reading frame 55,ENSG00000164898
Tmito,6296,ACSM3,SA|SAH|Q53FZ2,acyl-CoA synthetase medium-chain family member 3,ENSG00000005187
Tmito,137682,NDUFAF6,C8orf38|Q330K2,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 6",ENSG00000156170
Tmito,7350,UCP1,SLC25A7|UCP|P25874,"uncoupling protein 1 (mitochondrial, proton carrier)",ENSG00000109424
Tmito,94081,SFXN1,Q9H9B4,sideroflexin 1,ENSG00000164466
Tmito,51218,GLRX5,C14orf87|FLB4739|GRX5|PR01238|PRO1238|Q86SX6,glutaredoxin 5,ENSG00000182512
Tmito,138428,PTRH1,C9orf115|PTH1|Q86Y79,peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae),ENSG00000187024
Tmito,64963,MRPS11,HCC-2|P82912,mitochondrial ribosomal protein S11,ENSG00000181991
Tmito,63929,XPNPEP3,APP3|NPHPL1|Q9NQH7,"X-prolyl aminopeptidase (aminopeptidase P) 3, putative",ENSG00000196236
Tmito,54704,PDP1,PDH|PDP|PDPC|PPM2C|Q9P0J1,pyruvate dehyrogenase phosphatase catalytic subunit 1,ENSG00000164951
Tmito,1632,ECI1,DCI|P42126,enoyl-CoA delta isomerase 1,ENSG00000167969
Tmito,89874,SLC25A21,ODC|ODC1|Q9BQT8,"solute carrier family 25 (mitochondrial oxoadipate carrier), member 21",ENSG00000183032
Tmito,123096,SLC25A29,AL157871.2|C14orf69|CACL|ORNT3|Q8N8R3,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine carrier), member 29",ENSG00000197119
Tpossible_mito,283130,SLC25A45,Q8N413,"solute carrier family 25, member 45",ENSG00000162241
Tpossible_mito,57001,ACN9,Q9NRP4,ACN9 homolog (S. cerevisiae),ENSG00000196636
Tmito,51012,SLMO2,C20orf45|PRELID3B|dJ543J19.5|Q9Y3B1,slowmo homolog 2 (Drosophila),ENSG00000101166
Tmito,51629,SLC25A39,CGI69|Q9BZJ4,"solute carrier family 25, member 39",ENSG00000013306
Tmito,4709,NDUFB3,B12|CI-B12|O43676,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa",ENSG00000119013
Tmito,25996,REXO2,REX2|RFN|SFN|Q9Y3B8,RNA exonuclease 2,ENSG00000076043
Tmito,2628,GATM,AGAT|AT|CCDS3|P50440,glycine amidinotransferase (L-arginine:glycine amidinotransferase),ENSG00000171766
Tmito,26515,TIMM10B,FXC1|TIM10B|Tim9b|Q9Y5J6,translocase of inner mitochondrial membrane 10 homolog B (yeast),ENSG00000132286
Tmito,54938,SARS2,SARS|SARSM|SERS|SYS|SerRS|SerRSmt|mtSerRS|Q9NP81,"seryl-tRNA synthetase 2, mitochondrial",ENSG00000104835
Tmito,55349,CHDH,Q8NE62,choline dehydrogenase,ENSG00000016391
Tmito,78988,MRPL57,MRP63|bMRP63|Q9BQC6,mitochondrial ribosomal protein L57,ENSG00000173141
Tmito,414919,C8orf82,Q6P1X6,chromosome 8 open reading frame 82,ENSG00000213563
Tmito,124454,EARS2,COXPD12|MSE1|Q5JPH6,"glutamyl-tRNA synthetase 2, mitochondrial",ENSG00000103356
Tmito,9380,GRHPR,GLXR|GLYD|PH2|Q9UBQ7,glyoxylate reductase/hydroxypyruvate reductase,ENSG00000137106
Tmito,123263,MTFMT,COXPD15|FMT1|Q96DP5,mitochondrial methionyl-tRNA formyltransferase,ENSG00000103707
Tmito,79810,PTCD2,Q8WV60,pentatricopeptide repeat domain 2,ENSG00000049883
Tnon_mito,55862,ECHDC1,HEL-S-76|MMCD|dJ351K20.2|Q9NTX5,enoyl CoA hydratase domain containing 1,ENSG00000093144
Tmito,23438,HARS2,HARSL|HARSR|HO3|PRLTS2|P49590,"histidyl-tRNA synthetase 2, mitochondrial",ENSG00000112855
Tmito,4697,NDUFA4,CI-9k|CI-MLRQ|MLRQ|O00483,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa",ENSG00000189043
Tmito,51079,NDUFA13,B16.6|CDA016|GRIM-19|GRIM19|Q9P0J0,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 13",ENSG00000186010
Tmito,128240,APOA1BP,AIBP|YJEFN1|Q8NCW5,apolipoprotein A-I binding protein,ENSG00000163382
Tmito,8834,TMEM11,C17orf35|PM1|PMI|P17152,transmembrane protein 11,ENSG00000178307
Tnon_mito,83642,SELO,Q9BVL4,selenoprotein O,ENSG00000073169
Tmito,162417,NAGS,AGAS|ARGA|Q8N159,N-acetylglutamate synthase,ENSG00000161653
Tpossible_mito,3295,HSD17B4,DBP|MFE-2|MPF-2|PRLTS1|SDR8C1|P51659,hydroxysteroid (17-beta) dehydrogenase 4,ENSG00000133835
Tmito,55471,NDUFAF7,C2orf56|MidA|Q7L592,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 7",ENSG00000003509
Tmito,4942,OAT,GACR|HOGA|OATASE|OKT|P04181,ornithine aminotransferase,ENSG00000065154
Tmito,54534,MRPL50,MRP-L50|Q8N5N7,mitochondrial ribosomal protein L50,ENSG00000136897
Tmito,1349,COX7B,APLCC|P24311,cytochrome c oxidase subunit VIIb,ENSG00000131174
Tmito,57038,RARS2,ArgRS|DALRD2|PCH6|PRO1992|RARSL|dJ382I10.6|Q5T160,"arginyl-tRNA synthetase 2, mitochondrial",ENSG00000146282
Tpossible_mito,339229,OXLD1,C17orf90|Q5BKU9,oxidoreductase-like domain containing 1,ENSG00000204237
Tpossible_mito,51110,LACTB2,Q53H82,"lactamase, beta 2",ENSG00000147592
Tmito,126328,NDUFA11,B14.7|CI-B14.7|Q86Y39,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa",ENSG00000174886
Tmito,54998,AURKAIP1,AIP|AKIP|MRP-S38|Q9NWT8,aurora kinase A interacting protein 1,ENSG00000175756
Tpossible_mito,79145,CHCHD7,COX23|Q9BUK0,coiled-coil-helix-coiled-coil-helix domain containing 7,ENSG00000170791
Tmito,6472,SHMT2,GLYA|HEL-S-51e|SHMT|P34897,serine hydroxymethyltransferase 2 (mitochondrial),ENSG00000182199
Tmito,10797,MTHFD2,NMDMC|P13995,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",ENSG00000065911
Tmito,51115,RMDN1,FAM82B|RMD-1|RMD1|Q96DB5,regulator of microtubule dynamics 1,ENSG00000176623
Tmito,1373,CPS1,CPSASE1|PHN|P31327,"carbamoyl-phosphate synthase 1, mitochondrial",ENSG00000021826
Tmito,64928,MRPL14,L14mt|L32mt|MRP-L14|MRP-L32|MRPL32|RMPL32|RPML32|Q6P1L8,mitochondrial ribosomal protein L14,ENSG00000180992
Tmito,51250,C6orf203,PRED31|RP11-59I9.1|Q9P0P8,chromosome 6 open reading frame 203,ENSG00000130349
Tpossible_mito,112724,RDH13,SDR7C3|Q8NBN7,retinol dehydrogenase 13 (all-trans/9-cis),ENSG00000160439
Tmito,79979,TRMT2B,CXorf34|dJ341D10.3|Q96GJ1,tRNA methyltransferase 2 homolog B (S. cerevisiae),ENSG00000188917
Tmito,64951,MRPS24,MRP-S24|S24mt|bMRP-47|bMRP47|Q96EL2,mitochondrial ribosomal protein S24,ENSG00000062582
Tmito,28958,COA3,CCDC56|MITRAC12|Q9Y2R0,cytochrome c oxidase assembly factor 3,ENSG00000183978
Tmito,2936,GSR,HEL-75|P00390,glutathione reductase,ENSG00000104687
Tmito,2021,ENDOG,Q14249,endonuclease G,ENSG00000167136
Tmito,587,BCAT2,BCAM|BCATM|BCT2|PP18|O15382,"branched chain amino-acid transaminase 2, mitochondrial",ENSG00000105552
Tmito,79736,TEFM,C17orf42|Q96QE5,"transcription elongation factor, mitochondrial",ENSG00000172171
Tmito,80221,ACSF2,ACSMW|AVYV493|Q96CM8,acyl-CoA synthetase family member 2,ENSG00000167107
Tmito,55687,TRMU,MTO2|MTU1|TRMT|TRMT1|TRNT1|O75648,tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase,ENSG00000100416
Tmito,56945,MRPS22,C3orf5|COXPD5|GIBT|MRP-S22|RPMS22|P82650,mitochondrial ribosomal protein S22,ENSG00000175110
Tmito,51056,LAP3,HEL-S-106|LAP|LAPEP|PEPS|P28838,leucine aminopeptidase 3,ENSG00000002549
Tmito,2746,GLUD1,GDH|GDH1|GLUD|P00367,glutamate dehydrogenase 1,ENSG00000148672
Tmito,3155,HMGCL,HL|P35914,3-hydroxymethyl-3-methylglutaryl-CoA lyase,ENSG00000117305
Tnon_mito,2272,FHIT,AP3Aase|FRA3B|P49789,fragile histidine triad,ENSG00000189283
Tmito,51650,MRPS33,MRP-S33|PTD003|S33mt|Q9Y291,mitochondrial ribosomal protein S33,ENSG00000090263
Tmito,80224,NUBPL,C14orf127|IND1|huInd1|Q8TB37,nucleotide binding protein-like,ENSG00000151413
Tmito,57226,LYRM2,DJ122O8.2|Q9NU23,LYR motif containing 2,ENSG00000083099
Tpossible_mito,255027,MPV17L,M-LPH|MLPH1|MLPH2|MPV17L1|Q2QL34,MPV17 mitochondrial membrane protein-like,ENSG00000156968
Tmito,90480,GADD45GIP1,CKBBP2|CKbetaBP2|CRIF1|MRP-L59|PLINP|PLINP-1|PRG6|Plinp1|Q8TAE8,"growth arrest and DNA-damage-inducible, gamma interacting protein 1",ENSG00000179271
Tmito,7019,TFAM,MTTF1|MTTFA|TCF6|TCF6L1|TCF6L2|TCF6L3|Q00059,"transcription factor A, mitochondrial",ENSG00000108064
Tmito,5832,ALDH18A1,ARCL3A|GSAS|P5CS|PYCS|P54886,"aldehyde dehydrogenase 18 family, member A1",ENSG00000059573
Tmito,54995,OXSM,FASN2D|KASI|KS|Q9NWU1,"3-oxoacyl-ACP synthase, mitochondrial",ENSG00000151093
Tmito,56267,CCBL2,KAT3|KATIII|RP4-531M19.2|Q6YP21,cysteine conjugate-beta lyase 2,ENSG00000137944
Tmito,80222,TARS2,TARSL1|thrRS|Q9BW92,"threonyl-tRNA synthetase 2, mitochondrial (putative)",ENSG00000143374
Tmito,9238,TBRG4,CPR2|FASTKD4|Q969Z0,transforming growth factor beta regulator 4,ENSG00000136270
Tmito,157378,TMEM65,Q6PI78,transmembrane protein 65,ENSG00000164983
Tmito,140823,ROMO1,C20orf52|MTGM|MTGMP|bA353C18.2|P60602,reactive oxygen species modulator 1,ENSG00000125995
Tmito,25824,PRDX5,ACR1|AOEB166|B166|HEL-S-55|PLP|PMP20|PRDX6|PRXV|prx-V|P30044,peroxiredoxin 5,ENSG00000126432
Tmito,29103,DNAJC15,DNAJD1|HSD18|MCJ|Q9Y5T4,"DnaJ (Hsp40) homolog, subfamily C, member 15",ENSG00000120675
Tmito,79568,C2orf47,Q8WWC4,chromosome 2 open reading frame 47,ENSG00000162972
Tmito,25994,HIGD1A,HIG1|RCF1a|Q9Y241,"HIG1 hypoxia inducible domain family, member 1A",ENSG00000181061
Tmito,283951,C16orf91,CCSMST1|gs103|Q4G0I0,chromosome 16 open reading frame 91,ENSG00000174109
Tmito,89941,RHOT2,ARHT2|C16orf39|MIRO-2|MIRO2|RASL|Q8IXI1,ras homolog family member T2,ENSG00000140983
Tpossible_mito,9673,SLC25A44,RP11-54H19.3|Q96H78,"solute carrier family 25, member 44",ENSG00000160785
Tpossible_mito,51179,HAO2,GIG16|HAOX2|Q9NYQ3,hydroxyacid oxidase 2 (long chain),ENSG00000116882
Tmito,5018,OXA1L,OXA1|Q15070,oxidase (cytochrome c) assembly 1-like,ENSG00000155463
Tpossible_mito,91137,SLC25A46,Q96AG3,"solute carrier family 25, member 46",ENSG00000164209
Tpossible_mito,57665,RDH14,PAN2|SDR7C4|Q9HBH5,retinol dehydrogenase 14 (all-trans/9-cis/11-cis),ENSG00000240857
Tpossible_mito,9556,C14orf2,MP68|PLPM|P56378,chromosome 14 open reading frame 2,ENSG00000156411
Tmito,11238,CA5B,CA-VB|Q9Y2D0,"carbonic anhydrase VB, mitochondrial",ENSG00000169239
Tmito,80347,COASY,DPCK|NBP|PPAT|UKR1|pOV-2|Q13057,CoA synthase,ENSG00000068120
Tmito,284106,CISD3,Miner2|P0C7P0,CDGSH iron sulfur domain 3,ENSG00000230055
Tmito,2954,GSTZ1,GSTZ1-1|MAAI|MAI|O43708,glutathione S-transferase zeta 1,ENSG00000100577
Tmito,125965,COX6B2,COXVIB2|CT59|Q6YFQ2,cytochrome c oxidase subunit VIb polypeptide 2 (testis),ENSG00000160471
Tmito,51031,GLOD4,C17orf25|HC71|Q9HC38,glyoxalase domain containing 4,ENSG00000167699
Tpossible_mito,30,ACAA1,ACAA|PTHIO|THIO|P09110,acetyl-CoA acyltransferase 1,ENSG00000060971
Tpossible_mito,54677,CROT,COT|Q9UKG9,carnitine O-octanoyltransferase,ENSG00000005469
Tmito,64146,PDF,Q9HBH1,peptide deformylase (mitochondrial),ENSG00000258429
Tpossible_mito,90639,COX19,Q49B96,cytochrome c oxidase assembly homolog 19 (S. cerevisiae),ENSG00000240230
Tpossible_mito,275,AMT,GCE|GCST|GCVT|NKH|P48728,aminomethyltransferase,ENSG00000145020
Tmito,55066,PDPR,PDP3|Q8NCN5,pyruvate dehydrogenase phosphatase regulatory subunit,ENSG00000090857
Tmito,57486,NLN,AGTBP|EP24.16|MEP|MOP|Q9BYT8,neurolysin (metallopeptidase M3 family),ENSG00000123213
Tmito,51027,BOLA1,Q9Y3E2,bolA family member 1,ENSG00000178096
Tmito,212,ALAS2,ALAS-E|ALASE|ANH1|ASB|XLDPP|XLEPP|XLSA|P22557,"aminolevulinate, delta-, synthase 2",ENSG00000158578
Tmito,134266,GRPEL2,Mt-GrpE#2|Q8TAA5,"GrpE-like 2, mitochondrial (E. coli)",ENSG00000164284
Tmito,501,ALDH7A1,ATQ1|EPD|PDE|P49419,"aldehyde dehydrogenase 7 family, member A1",ENSG00000164904
Tmito,27440,CECR5,Q9BXW7,"cat eye syndrome chromosome region, candidate 5",ENSG00000069998
Tmito,2671,GFER,ALR|ERV1|HERV1|HPO|HPO1|HPO2|HSS|P55789,"growth factor, augmenter of liver regeneration",ENSG00000127554
Tmito,83943,IMMP2L,IMMP2L-IT1|IMP2|IMP2-LIKE|Q96T52,IMP2 inner mitochondrial membrane peptidase-like (S. cerevisiae),ENSG00000184903
Tmito,84701,COX4I2,COX4|COX4-2|COX4B|COX4L2|COXIV-2|dJ857M17.2|Q96KJ9,cytochrome c oxidase subunit IV isoform 2 (lung),ENSG00000131055
Tmito,54148,MRPL39,C21orf92|L39mt|MRP-L5|MRPL5|PRED22|PRED66|RPML5|Q9NYK5,mitochondrial ribosomal protein L39,ENSG00000154719
Tpossible_mito,51166,AADAT,KAT2|KATII|Q8N5Z0,aminoadipate aminotransferase,ENSG00000109576
Tpossible_mito,65991,FUNDC2,DC44|HCBP6|HCC3|PD03104|Q9BWH2,FUN14 domain containing 2,ENSG00000165775
Tpossible_mito,10434,LYPLA1,APT-1|APT1|LPL-I|LPL1|hAPT1|O75608,lysophospholipase I,ENSG00000120992
Tpossible_mito,5161,PDHA2,PDHAL|P29803,pyruvate dehydrogenase (lipoamide) alpha 2,ENSG00000163114
Tmito,54516,MTRF1L,HMRF1L|MRF1L|mtRF1a|Q9UGC7,mitochondrial translational release factor 1-like,ENSG00000112031
Tmito,84705,GTPBP3,GTPBG3|MSS1|MTGP1|THDF1|Q969Y2,GTP binding protein 3 (mitochondrial),ENSG00000130299
Tmito,441024,MTHFD2L,Q9H903,methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like,ENSG00000163738
Tmito,10730,YME1L1,FTSH|MEG4|PAMP|YME1L|Q96TA2,YME1-like 1 ATPase,ENSG00000136758
Tmito,10965,ACOT2,CTE-IA|CTE1A|MTE1|PTE2|PTE2A|ZAP128|P49753,acyl-CoA thioesterase 2,ENSG00000119673
Tmito,84334,APOPT1,APOP1|C14orf153|Q96IL0,"apoptogenic 1, mitochondrial",ENSG00000256053
Tmito,326625,MMAB,ATR|cblB|cob|Q96EY8,methylmalonic aciduria (cobalamin deficiency) cblB type,ENSG00000139428
Tmito,5498,PPOX,PPO|V290M|VP|P50336,protoporphyrinogen oxidase,ENSG00000143224
Tmito,5825,ABCD3,ABC43|PMP70|PXMP1|ZWS2|P28288,"ATP-binding cassette, sub-family D (ALD), member 3",ENSG00000117528
Tmito,23410,SIRT3,SIR2L3|Q9NTG7,sirtuin 3,ENSG00000142082
Tmito,197257,LDHD,DLD|Q86WU2,lactate dehydrogenase D,ENSG00000166816
Tmito,84311,MRPL45,L45mt|MRP-L45|B4DEF8,mitochondrial ribosomal protein L45,ENSG00000174100
Tmito,91574,C12orf65,COXPD7|SPG55|Q9H3J6,chromosome 12 open reading frame 65,ENSG00000130921
Tmito,196294,IMMP1L,IMP1|IMP1-LIKE|Q96LU5,IMP1 inner mitochondrial membrane peptidase-like (S. cerevisiae),ENSG00000148950
Tmito,5428,POLG,MDP1|MIRAS|MTDPS4A|MTDPS4B|PEO|POLG1|POLGA|SANDO|SCAE|P54098,"polymerase (DNA directed), gamma",ENSG00000140521
Tmito,64756,ATPAF1,ATP11|ATP11p|Q5TC12,ATP synthase mitochondrial F1 complex assembly factor 1,ENSG00000123472
Tpossible_mito,2647,BLOC1S1,BLOS1|GCN5L1|MICoA|RT14|P78537,"biogenesis of lysosomal organelles complex-1, subunit 1",ENSG00000135441
Tmito,160428,ALDH1L2,mtFDH|Q3SY69,"aldehyde dehydrogenase 1 family, member L2",ENSG00000136010
Tmito,285521,COX18,COX18HS|Q8N8Q8,COX18 cytochrome C oxidase assembly factor,ENSG00000163626
Tmito,1371,CPOX,CPO|CPX|HCP|P36551,coproporphyrinogen oxidase,ENSG00000080819
Tmito,23530,NNT,GCCD4|Q13423,nicotinamide nucleotide transhydrogenase,ENSG00000112992
Tpossible_mito,284184,C17orf89,A1L188,chromosome 17 open reading frame 89,ENSG00000224877
Tnon_mito,91419,XRCC6BP1,KUB3|Q9Y6H3,XRCC6 binding protein 1,ENSG00000166896
Tmito,79877,DCAKD,Q8WVC6,dephospho-CoA kinase domain containing,ENSG00000172992
Tmito,9551,ATP5J2,ATP5JL|P56134,"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2",ENSG00000241468
Tpossible_mito,6566,SLC16A1,HHF7|MCT|MCT1|P53985,"solute carrier family 16 (monocarboxylate transporter), member 1",ENSG00000155380
Tpossible_mito,81855,SFXN3,BA108L7.2|SFX3|Q9BWM7,sideroflexin 3,ENSG00000107819
Tpossible_mito,83752,LONP2,LONP|LONPL|Q86WA8,"lon peptidase 2, peroxisomal",ENSG00000102910
Tmito,10157,AASS,LKR/SDH|LKRSDH|LORSDH|Q9UDR5,aminoadipate-semialdehyde synthase,ENSG00000008311
Tmito,56616,DIABLO,DFNA64|SMAC|Q9NR28,"diablo, IAP-binding mitochondrial protein",ENSG00000184047
Tmito,341947,COX8C,COX8-3|Q7Z4L0,cytochrome c oxidase subunit VIIIC,ENSG00000187581
Tmito,5827,PXMP2,PMP22|Q9NR77,"peroxisomal membrane protein 2, 22kDa",ENSG00000176894
Tmito,64902,AGXT2,AGT2|DAIBAT|Q9BYV1,alanine--glyoxylate aminotransferase 2,ENSG00000113492
Tpossible_mito,27165,GLS2,GA|GLS|LGA|hLGA|Q9UI32,"glutaminase 2 (liver, mitochondrial)",ENSG00000135423
Tmito,79135,APOO,FAM121B|Q9BUR5,apolipoprotein O,ENSG00000184831
Tpossible_mito,84129,ACAD11,ACAD-11|Q709F0,"acyl-CoA dehydrogenase family, member 11",ENSG00000240303
Tpossible_mito,401207,C5orf63,YDR286C|A6NC05,chromosome 5 open reading frame 63,ENSG00000164241
Tmito,112817,HOGA1,C10orf65|DHDPS2|DHDPSL|HP3|NPL2|Q86XE5,4-hydroxy-2-oxoglutarate aldolase 1,ENSG00000241935
Tmito,54902,TTC19,2010204O13Rik|MC3DN2|Q6DKK2,tetratricopeptide repeat domain 19,ENSG00000011295
Tmito,51335,NGRN,DSC92|Q9NPE2,"neugrin, neurite outgrowth associated",ENSG00000182768
Tmito,285343,TCAIM,C3orf23|TOAG-1|TOAG1|Q8N3R3,"T cell activation inhibitor, mitochondrial",ENSG00000179152
